Datetime,Open,High,Low,Close,Volume
2024-10-14 17:00:00,1.09183,1.09183,1.09045,1.09144,5053
2024-10-14 18:00:00,1.09143,1.09159,1.09043,1.09065,2708
2024-10-14 19:00:00,1.09064,1.0908,1.09003,1.09011,1668
2024-10-14 20:00:00,1.0901,1.09038,1.08968,1.09035,1317
2024-10-14 21:00:00,1.09036,1.09046,1.08945,1.08967,1254
2024-10-14 22:00:00,1.08968,1.09055,1.08877,1.09034,2824
2024-10-14 23:00:00,1.09032,1.09091,1.09024,1.09082,893
2024-10-15 00:00:00,1.09041,1.0908,1.09041,1.09077,446
2024-10-15 01:00:00,1.09078,1.09091,1.09044,1.09081,539
2024-10-15 02:00:00,1.09082,1.091,1.09062,1.09084,721
2024-10-15 03:00:00,1.09085,1.09094,1.09035,1.09068,1869
2024-10-15 04:00:00,1.09066,1.09082,1.09042,1.09067,1399
2024-10-15 05:00:00,1.09065,1.09084,1.08999,1.09016,1775
2024-10-15 06:00:00,1.09015,1.09025,1.08952,1.0896,1412
2024-10-15 07:00:00,1.08959,1.08959,1.0891,1.08924,1213
2024-10-15 08:00:00,1.08923,1.08924,1.08877,1.08903,1930
2024-10-15 09:00:00,1.08904,1.08953,1.08845,1.08921,3349
2024-10-15 10:00:00,1.08924,1.08984,1.08844,1.08982,4131
2024-10-15 11:00:00,1.08983,1.09157,1.08966,1.09099,3269
2024-10-15 12:00:00,1.09098,1.09141,1.09055,1.09137,3117
2024-10-15 13:00:00,1.09136,1.09146,1.09022,1.09022,2710
2024-10-15 14:00:00,1.09021,1.09088,1.08967,1.09009,3249
2024-10-15 15:00:00,1.09008,1.09121,1.0899,1.09095,4537
2024-10-15 16:00:00,1.09097,1.09163,1.09079,1.09091,4956
2024-10-15 17:00:00,1.0909,1.09112,1.08984,1.09023,5519
2024-10-15 18:00:00,1.09022,1.09067,1.0898,1.08984,4056
2024-10-15 19:00:00,1.08986,1.0902,1.08889,1.08889,2329
2024-10-15 20:00:00,1.08887,1.08899,1.08813,1.08848,2303
2024-10-15 21:00:00,1.0885,1.08899,1.08834,1.08868,2258
2024-10-15 22:00:00,1.08869,1.08896,1.08854,1.08863,2910
2024-10-15 23:00:00,1.08862,1.0892,1.08852,1.08904,1206
2024-10-16 00:00:00,1.08888,1.08925,1.0888,1.08923,475
2024-10-16 01:00:00,1.08923,1.08923,1.08872,1.08892,569
2024-10-16 02:00:00,1.08891,1.08897,1.08826,1.08827,873
2024-10-16 03:00:00,1.08826,1.08863,1.08816,1.0885,1600
2024-10-16 04:00:00,1.08851,1.08917,1.08838,1.08917,2472
2024-10-16 05:00:00,1.08918,1.08929,1.08881,1.08922,1603
2024-10-16 06:00:00,1.08923,1.08953,1.08902,1.08904,1485
2024-10-16 07:00:00,1.08903,1.08926,1.08872,1.08893,882
2024-10-16 08:00:00,1.08894,1.08897,1.0886,1.08861,1386
2024-10-16 09:00:00,1.08859,1.08859,1.08757,1.08768,4955
2024-10-16 10:00:00,1.08772,1.08849,1.08747,1.08817,3994
2024-10-16 11:00:00,1.08816,1.08839,1.08773,1.08827,3383
2024-10-16 12:00:00,1.08828,1.08968,1.0882,1.08942,3424
2024-10-16 13:00:00,1.08944,1.0895,1.08889,1.08896,2196
2024-10-16 14:00:00,1.08894,1.08953,1.08864,1.08939,2624
2024-10-16 15:00:00,1.0894,1.0901,1.08859,1.08883,3482
2024-10-16 16:00:00,1.08885,1.0897,1.08845,1.08896,4407
2024-10-16 17:00:00,1.08899,1.08903,1.08709,1.08793,4899
2024-10-16 18:00:00,1.08792,1.08796,1.08656,1.08718,3697
2024-10-16 19:00:00,1.08719,1.08762,1.08664,1.08678,2224
2024-10-16 20:00:00,1.08677,1.08679,1.0861,1.08617,1986
2024-10-16 21:00:00,1.08615,1.08624,1.08548,1.08553,2024
2024-10-16 22:00:00,1.08552,1.08599,1.08527,1.08572,1891
2024-10-16 23:00:00,1.08574,1.08623,1.08568,1.08609,1228
2024-10-17 00:00:00,1.0855,1.08698,1.0855,1.08623,1681
2024-10-17 01:00:00,1.08623,1.08634,1.0857,1.08582,707
2024-10-17 02:00:00,1.08581,1.08591,1.08559,1.08583,840
2024-10-17 03:00:00,1.08584,1.08638,1.08573,1.08627,2199
2024-10-17 04:00:00,1.08626,1.08634,1.08586,1.08621,2504
2024-10-17 05:00:00,1.08624,1.08646,1.08586,1.08612,2253
2024-10-17 06:00:00,1.08611,1.08616,1.08506,1.08525,1326
2024-10-17 07:00:00,1.08529,1.08551,1.08519,1.08528,855
2024-10-17 08:00:00,1.08527,1.0855,1.0852,1.08531,1633
2024-10-17 09:00:00,1.0853,1.08579,1.08493,1.08501,2375
2024-10-17 10:00:00,1.085,1.08571,1.08485,1.08533,3420
2024-10-17 11:00:00,1.08532,1.08563,1.08486,1.08513,2924
2024-10-17 12:00:00,1.08513,1.08636,1.08498,1.08583,2569
2024-10-17 13:00:00,1.08582,1.08645,1.08576,1.08636,2446
2024-10-17 14:00:00,1.08637,1.0867,1.08625,1.08626,2259
2024-10-17 15:00:00,1.08625,1.08731,1.0833,1.0842,8402
2024-10-17 16:00:00,1.08418,1.08442,1.08105,1.08327,8374
2024-10-17 17:00:00,1.08324,1.08346,1.08136,1.08281,6985
2024-10-17 18:00:00,1.08283,1.08403,1.0824,1.08363,4480
2024-10-17 19:00:00,1.08362,1.08365,1.08218,1.08249,2734
2024-10-17 20:00:00,1.0825,1.08277,1.08205,1.08256,1706
